GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education,No certificate %,High (secondary) school %,Postsecondary Education %
5350001.0,1.0,415,25,60,325,6.02,14.46,78.31
5350002.0,2.0,255,20,40,200,7.84,15.69,78.43
5350003.0,3.0,375,20,30,320,5.33,8.0,85.33
5350004.0,4.0,4135,580,1040,2515,14.03,25.15,60.82
5350005.0,5.0,4670,415,975,3285,8.89,20.88,70.34
5350007.01,7.01,2195,235,430,1525,10.71,19.59,69.48
5350007.02,7.02,2960,275,705,1980,9.29,23.82,66.89
5350008.01,8.01,7280,75,700,6505,1.03,9.62,89.35
5350008.02,8.02,9310,190,900,8215,2.04,9.67,88.24
5350009.0,9.0,200,15,45,140,7.5,22.5,70.0
5350010.01,10.01,4440,95,495,3850,2.14,11.15,86.71
5350010.02,10.02,5565,185,785,4600,3.32,14.11,82.66
5350011.01,11.01,7910,150,710,7050,1.9,8.98,89.13
5350011.02,11.02,7785,65,545,7175,0.83,7.0,92.16
5350011.03,11.03,4925,20,400,4500,0.41,8.12,91.37
5350012.01,12.01,10395,230,1045,9125,2.21,10.05,87.78
5350012.03,12.03,7200,95,475,6635,1.32,6.6,92.15
5350012.04,12.04,4325,60,420,3850,1.39,9.71,89.02
5350013.01,13.01,5035,80,480,4475,1.59,9.53,88.88
5350013.02,13.02,7590,55,510,7025,0.72,6.72,92.56
5350014.0,14.0,1605,20,110,1475,1.25,6.85,91.9
5350015.0,15.0,3495,75,230,3195,2.15,6.58,91.42
5350016.0,16.0,8520,230,760,7535,2.7,8.92,88.44
5350017.01,17.01,3650,100,315,3235,2.74,8.63,88.63
5350017.02,17.02,5895,225,925,4745,3.82,15.69,80.49
5350018.0,18.0,2700,40,350,2310,1.48,12.96,85.56
5350019.0,19.0,2095,280,305,1510,13.37,14.56,72.08
5350020.0,20.0,1180,0,100,1080,0.0,8.47,91.53
5350021.0,21.0,2975,90,455,2430,3.03,15.29,81.68
5350022.0,22.0,2100,40,240,1820,1.9,11.43,86.67
5350023.0,23.0,1770,25,220,1520,1.41,12.43,85.88
5350024.0,24.0,3940,135,645,3165,3.43,16.37,80.33
5350025.0,25.0,2210,155,380,1675,7.01,17.19,75.79
5350026.0,26.0,4095,445,840,2805,10.87,20.51,68.5
5350027.0,27.0,2640,330,410,1895,12.5,15.53,71.78
5350028.01,28.01,975,10,110,855,1.03,11.28,87.69
5350028.02,28.02,3845,210,545,3095,5.46,14.17,80.49
5350029.0,29.0,4125,500,640,2985,12.12,15.52,72.36
5350030.0,30.0,4630,440,900,3295,9.5,19.44,71.17
5350031.0,31.0,3405,490,735,2180,14.39,21.59,64.02
5350032.0,32.0,3615,465,660,2495,12.86,18.26,69.02
5350033.0,33.0,3265,390,675,2205,11.94,20.67,67.53
5350034.01,34.01,3030,50,255,2730,1.65,8.42,90.1
5350034.02,34.02,5440,200,670,4570,3.68,12.32,84.01
5350035.0,35.0,7055,90,580,6385,1.28,8.22,90.5
5350036.0,36.0,3755,165,535,3050,4.39,14.25,81.23
5350037.0,37.0,2745,205,375,2160,7.47,13.66,78.69
5350038.0,38.0,2065,245,505,1315,11.86,24.46,63.68
5350039.0,39.0,2765,415,590,1750,15.01,21.34,63.29
5350040.0,40.0,2785,410,570,1795,14.72,20.47,64.45
5350041.0,41.0,2150,215,360,1570,10.0,16.74,73.02
5350042.0,42.0,2790,245,495,2045,8.78,17.74,73.3
5350043.0,43.0,2380,200,395,1785,8.4,16.6,75.0
5350044.01,44.01,3325,230,490,2610,6.92,14.74,78.5
5350044.02,44.02,3480,90,450,2940,2.59,12.93,84.48
5350045.0,45.0,2140,235,395,1510,10.98,18.46,70.56
5350046.0,46.0,2010,245,465,1305,12.19,23.13,64.93
5350047.02,47.02,2120,420,425,1270,19.81,20.05,59.91
5350047.03,47.03,790,25,115,650,3.16,14.56,82.28
5350047.04,47.04,1725,65,260,1395,3.77,15.07,80.87
5350048.0,48.0,2145,105,350,1690,4.9,16.32,78.79
5350049.0,49.0,2020,30,275,1725,1.49,13.61,85.4
5350050.01,50.01,4995,125,550,4325,2.5,11.01,86.59
5350050.03,50.03,705,0,95,610,0.0,13.48,86.52
5350050.04,50.04,2805,125,375,2310,4.46,13.37,82.35
5350051.0,51.0,2960,70,290,2600,2.36,9.8,87.84
5350052.0,52.0,2620,75,345,2200,2.86,13.17,83.97
5350053.0,53.0,3890,445,640,2800,11.44,16.45,71.98
5350054.0,54.0,3515,260,545,2710,7.4,15.5,77.1
5350055.0,55.0,1825,55,325,1445,3.01,17.81,79.18
5350056.0,56.0,2860,150,490,2225,5.24,17.13,77.8
5350057.0,57.0,1425,80,210,1140,5.61,14.74,80.0
5350058.0,58.0,2395,60,280,2060,2.51,11.69,86.01
5350059.0,59.0,1910,60,285,1565,3.14,14.92,81.94
5350060.0,60.0,1600,30,155,1415,1.88,9.69,88.44
5350061.0,61.0,520,20,60,440,3.85,11.54,84.62
5350062.01,62.01,2335,15,230,2085,0.64,9.85,89.29
5350062.03,62.03,1980,15,165,1800,0.76,8.33,90.91
5350062.04,62.04,5160,85,390,4685,1.65,7.56,90.79
5350063.03,63.03,3745,55,405,3275,1.47,10.81,87.45
5350063.04,63.04,3535,205,490,2840,5.8,13.86,80.34
5350063.05,63.05,4365,55,430,3890,1.26,9.85,89.12
5350063.06,63.06,4195,150,560,3480,3.58,13.35,82.96
5350064.0,64.0,3820,105,545,3165,2.75,14.27,82.85
5350065.01,65.01,1910,70,295,1545,3.66,15.45,80.89
5350065.02,65.02,6825,905,1505,4415,13.26,22.05,64.69
5350066.0,66.0,4750,215,900,3635,4.53,18.95,76.53
5350067.0,67.0,1000,10,80,915,1.0,8.0,91.5
5350068.0,68.0,1405,35,145,1220,2.49,10.32,86.83
5350069.0,69.0,2710,180,315,2215,6.64,11.62,81.73
5350070.0,70.0,1945,45,215,1690,2.31,11.05,86.89
5350071.0,71.0,1800,60,215,1525,3.33,11.94,84.72
5350072.01,72.01,2540,240,475,1825,9.45,18.7,71.85
5350072.02,72.02,1810,145,315,1350,8.01,17.4,74.59
5350073.0,73.0,1635,220,295,1125,13.46,18.04,68.81
5350074.0,74.0,2355,245,465,1655,10.4,19.75,70.28
5350075.0,75.0,2175,145,335,1695,6.67,15.4,77.93
5350076.0,76.0,2470,155,395,1915,6.28,15.99,77.53
5350077.0,77.0,2680,195,385,2105,7.28,14.37,78.54
5350078.0,78.0,3595,185,580,2830,5.15,16.13,78.72
5350079.0,79.0,4110,145,580,3385,3.53,14.11,82.36
5350080.01,80.01,2315,140,455,1725,6.05,19.65,74.51
