REF_DATE,GEO,DGUID,Household size (7),Household type including census family structure  (11),Coordinate,Household income statistics (6):Number of households (2021)[1],Symbol,Household income statistics (6):Number of households (2016)[2],Symbol,Household income statistics (6):Median household total income (2020) (2020 constant dollars)[3],Symbol,Household income statistics (6):Median household total income (2015) (2020 constant dollars)[4],Symbol,Household income statistics (6):Median household after-tax income (2020) (2020 constant dollars)[5],Symbol,Household income statistics (6):Median household after-tax income (2015) (2020 constant dollars)[6],Symbol
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,Total – Household type including census family structure,1.1.1,67615,,62635,,91000,,79500,,82000,,70000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,Census-family households,1.1.2,48515,,45865,,114000,,97000,,101000,,85000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,Households consisting of only one census family without additional persons,1.1.3,38275,,37180,,103000,,91000,,91000,,79000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,"One couple, with or without children in their census family",1.1.4,33010,,32020,,109000,,97000,,96000,,85000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,Without children,1.1.5,15520,,15210,,89000,,82000,,79500,,72500,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,With children,1.1.6,17490,,16805,,127000,,111000,,111000,,96000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,One one-parent census family,1.1.7,5260,,5160,,66000,,52000,,62000,,47600,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,With a parent that is a man+,1.1.8,1095,,1035,,79500,,72500,,70500,,62400,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,With a parent that is a woman+,1.1.9,4165,,4125,,63200,,47600,,60000,,44800,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,Other census family households,1.1.10,10245,,8685,,157000,,126000,,141000,,113000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,Total - Households by household size,Non-census family households,1.1.11,19095,,16765,,45600,,38400,,41600,,34400,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,Total – Household type including census family structure,1.2.1,16110,,14510,,41200,,35200,,37600,,32000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,Census-family households,1.2.2,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,Households consisting of only one census family without additional persons,1.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,"One couple, with or without children in their census family",1.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,Without children,1.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,With children,1.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,One one-parent census family,1.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,With a parent that is a man+,1.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,With a parent that is a woman+,1.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,Other census family households,1.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,1 person,Non-census family households,1.2.11,16110,,14510,,41200,,35200,,37600,,32000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,Total – Household type including census family structure,1.3.1,51500,,48125,,111000,,96000,,99000,,84000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,Census-family households,1.3.2,48515,,45865,,114000,,97000,,101000,,85000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,Households consisting of only one census family without additional persons,1.3.3,38275,,37180,,103000,,91000,,91000,,79000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,"One couple, with or without children in their census family",1.3.4,33010,,32020,,109000,,97000,,96000,,85000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,Without children,1.3.5,15520,,15210,,89000,,82000,,79500,,72500,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,With children,1.3.6,17490,,16805,,127000,,111000,,111000,,96000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,One one-parent census family,1.3.7,5260,,5160,,66000,,52000,,62000,,47600,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,With a parent that is a man+,1.3.8,1095,,1035,,79500,,72500,,70500,,62400,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,With a parent that is a woman+,1.3.9,4165,,4125,,63200,,47600,,60000,,44800,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,Other census family households,1.3.10,10245,,8685,,157000,,126000,,141000,,113000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 or more persons,Non-census family households,1.3.11,2985,,2255,,83000,,64500,,75000,,58400,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,Total – Household type including census family structure,1.4.1,20860,,19950,,83000,,75500,,74500,,67000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,Census-family households,1.4.2,18615,,18120,,84000,,77000,,75500,,68500,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,Households consisting of only one census family without additional persons,1.4.3,18615,,18120,,84000,,77000,,75500,,68500,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,"One couple, with or without children in their census family",1.4.4,15520,,15210,,89000,,82000,,79500,,72500,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,Without children,1.4.5,15520,,15210,,89000,,82000,,79500,,72500,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,With children,1.4.6,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,One one-parent census family,1.4.7,3095,,2910,,64000,,52000,,59200,,47200,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,With a parent that is a man+,1.4.8,740,,680,,76000,,67500,,67500,,58800,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,With a parent that is a woman+,1.4.9,2355,,2230,,60800,,48000,,56800,,44400,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,Other census family households,1.4.10,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,2 persons,Non-census family households,1.4.11,2240,,1835,,75000,,61200,,69000,,55200,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,Total – Household type including census family structure,1.5.1,9640,,9275,,109000,,95000,,97000,,83000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,Census-family households,1.5.2,9185,,8965,,109000,,96000,,97000,,84000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,Households consisting of only one census family without additional persons,1.5.3,7730,,7610,,108000,,94000,,96000,,82000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,"One couple, with or without children in their census family",1.5.4,6185,,6010,,119000,,106000,,104000,,92000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,Without children,1.5.5,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,With children,1.5.6,6185,,6010,,119000,,106000,,104000,,92000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,One one-parent census family,1.5.7,1545,,1600,,69500,,52000,,65000,,48400,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,With a parent that is a man+,1.5.8,265,,275,,86000,,82000,,75500,,71500,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,With a parent that is a woman+,1.5.9,1280,,1325,,66000,,47200,,63200,,44400,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,Other census family households,1.5.10,1460,,1360,,116000,,102000,,105000,,90000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,3 persons,Non-census family households,1.5.11,450,,305,,102000,,81000,,93000,,73000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,Total – Household type including census family structure,1.6.1,9980,,9210,,128000,,111000,,113000,,96000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,Census-family households,1.6.2,9805,,9130,,129000,,111000,,113000,,96000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,Households consisting of only one census family without additional persons,1.6.3,7890,,7495,,127000,,110000,,111000,,95000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,"One couple, with or without children in their census family",1.6.4,7435,,7025,,130000,,113000,,112000,,97000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,Without children,1.6.5,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,With children,1.6.6,7435,,7025,,130000,,113000,,112000,,97000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,One one-parent census family,1.6.7,455,,470,,70500,,51200,,68500,,48000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,With a parent that is a man+,1.6.8,60,,65,,84000,,79000,,77000,,72500,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,With a parent that is a woman+,1.6.9,395,,410,,69000,,48800,,66000,,46000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,Other census family households,1.6.10,1915,,1635,,139000,,118000,,125000,,105000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,4 persons,Non-census family households,1.6.11,170,,75,,116000,,106000,,111000,,96000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,5 or more persons,Total – Household type including census family structure,1.7.1,11020,,9690,,157000,,125000,,140000,,112000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,5 or more persons,Census-family households,1.7.2,10900,,9645,,157000,,125000,,140000,,112000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,5 or more persons,Households consisting of only one census family without additional persons,1.7.3,4040,,3955,,133000,,113000,,118000,,99000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,5 or more persons,"One couple, with or without children in their census family",1.7.4,3870,,3775,,135000,,116000,,120000,,101000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,5 or more persons,Without children,1.7.5,0,,0,,0,...,0,...,0,...,0,...
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,5 or more persons,With children,1.7.6,3870,,3775,,135000,,116000,,120000,,101000,
2021,"Abbotsford - Mission (CMA) 932, B.C.",2021S0503932,5 or more persons,One one-parent census family,1.7.7,170,,180,,72000,,48400,,71000,,47600,
