geouid,cma codde,cma name,census tract name,Med income
10000,1,St. John's,0,32800
2050000,205,Halifax,0,33200
3050000,305,Moncton,0,32800
3100000,310,Saint John,0,32000
3200000,320,Fredericton,0,33600
4080000,408,Saguenay,0,32000
4210000,421,QuÈbec,0,36400
4330000,433,Sherbrooke,0,30200
4420000,442,Trois-RiviËres,0,30600
4470000,447,Drummondville,0,30600
4500000,450,Granby,0,32800
4520000,452,Saint-Hyacinthe,0,31200
4620000,462,MontrÈal,0,33200
5050000,505,Ottawa - Gatineau,0,40400
5210000,521,Kingston,0,34000
5220000,522,Belleville - Quinte West,0,33600
5290000,529,Peterborough,0,31400
5320000,532,Oshawa,0,37600
5350000,535,Toronto,0,35600
5370000,537,Hamilton,0,36400
5390000,539,St. Catharines - Niagara,0,32800
5410000,541,Kitchener - Cambridge - Waterloo,0,34800
5430000,543,Brantford,0,34400
5500000,550,Guelph,0,36000
5550000,555,London,0,33600
5590000,559,Windsor,0,34400
5620000,562,Sarnia,0,36000
5680000,568,Barrie,0,36000
5750000,575,North Bay,0,32400
5800000,580,Greater Sudbury / Grand Sudbury,0,35600
5900000,590,Sault Ste. Marie,0,32800
5950000,595,Thunder Bay,0,34800
6020000,602,Winnipeg,0,33600
7050000,705,Regina,0,38400
7250000,725,Saskatoon,0,36400
8050000,805,Medicine Hat,0,34800
8100000,810,Lethbridge,0,34400
8250000,825,Calgary,0,40000
8300000,830,Red Deer,0,36400
8350000,835,Edmonton,0,39600
8500000,850,Grande Prairie,0,43200
8600000,860,Wood Buffalo,0,70000
9150000,915,Kelowna,0,35200
9250000,925,Kamloops,0,34800
9300000,930,Chilliwack,0,34000
9320000,932,Abbotsford - Mission,0,34800
9330000,933,Vancouver,0,36800
9350000,935,Victoria,0,37600
9380000,938,Nanaimo,0,34000
9700000,970,Prince George,0,37200
10001,1,St. John's,1,24800
2050001,205,Halifax,1,32000
3050001,305,Moncton,1,28600
3200001,320,Fredericton,1,32400
4080001,408,Saguenay,1,34800
4330001,433,Sherbrooke,1,29000
4420001,442,Trois-RiviËres,1,26600
4500001,450,Granby,1,40800
4520001,452,Saint-Hyacinthe,1,36800
4620001,462,MontrÈal,1,35200
5210001,521,Kingston,1,35600
5220001,522,Belleville - Quinte West,1,40400
5320001,532,Oshawa,1,30800
5350001,535,Toronto,1,36400
5390001,539,St. Catharines - Niagara,1,29600
5430001,543,Brantford,1,30000
5590001,559,Windsor,1,40400
5750001,575,North Bay,1,30000
5950001,595,Thunder Bay,1,32400
6020001,602,Winnipeg,1,39200
8050001,805,Medicine Hat,1,46800
8100001,810,Lethbridge,1,45600
8500001,850,Grande Prairie,1,39200
8600001,860,Wood Buffalo,1,70000
9150001,915,Kelowna,1,44800
9250001,925,Kamloops,1,48800
9300001,930,Chilliwack,1,35200
9320001,932,Abbotsford - Mission,1,35200
9350001,935,Victoria,1,43200
9700001,970,Prince George,1,
3100001.01,310,Saint John,1.01,34400
4210001.01,421,QuÈbec,1.01,34800
4470001.01,447,Drummondville,1.01,34800
5290001.01,529,Peterborough,1.01,36000
5370001.01,537,Hamilton,1.01,34000
5410001.01,541,Kitchener - Cambridge - Waterloo,1.01,31000
5620001.01,562,Sarnia,1.01,22600
5680001.01,568,Barrie,1.01,40000
5800001.01,580,Greater Sudbury / Grand Sudbury,1.01,38000
5900001.01,590,Sault Ste. Marie,1.01,42400
7050001.01,705,Regina,1.01,44800
7250001.01,725,Saskatoon,1.01,31400
8250001.01,825,Calgary,1.01,42000
8300001.01,830,Red Deer,1.01,38400
8350001.01,835,Edmonton,1.01,
9330001.01,933,Vancouver,1.01,34400
3100001.02,310,Saint John,1.02,30200
4210001.02,421,QuÈbec,1.02,40800
4470001.02,447,Drummondville,1.02,32000
5290001.02,529,Peterborough,1.02,36400
5370001.02,537,Hamilton,1.02,37600
5500001.02,550,Guelph,1.02,37600
5550001.02,555,London,1.02,35200
5620001.02,562,Sarnia,1.02,
5680001.02,568,Barrie,1.02,42800
5800001.02,580,Greater Sudbury / Grand Sudbury,1.02,35200
5900001.02,590,Sault Ste. Marie,1.02,33600
7050001.02,705,Regina,1.02,37200
7250001.02,725,Saskatoon,1.02,42400
8250001.02,825,Calgary,1.02,49600
8350001.02,835,Edmonton,1.02,40400
9330001.02,933,Vancouver,1.02,46800
9380001.02,938,Nanaimo,1.02,40400
5410001.03,541,Kitchener - Cambridge - Waterloo,1.03,37600
5500001.03,550,Guelph,1.03,25200
5550001.03,555,London,1.03,37200
5800001.03,580,Greater Sudbury / Grand Sudbury,1.03,49200
8250001.03,825,Calgary,1.03,46400
8350001.03,835,Edmonton,1.03,38000
9380001.03,938,Nanaimo,1.03,
5050001.04,505,Ottawa - Gatineau,1.04,33200
5370001.04,537,Hamilton,1.04,36400
5680001.04,568,Barrie,1.04,42000
8250001.04,825,Calgary,1.04,42800
8350001.04,835,Edmonton,1.04,35600
9380001.04,938,Nanaimo,1.04,36000
5050001.05,505,Ottawa - Gatineau,1.05,44400
5370001.05,537,Hamilton,1.05,36400
5410001.05,541,Kitchener - Cambridge - Waterloo,1.05,43200
5500001.05,550,Guelph,1.05,28600
5550001.05,555,London,1.05,35200
5680001.05,568,Barrie,1.05,40800
5800001.05,580,Greater Sudbury / Grand Sudbury,1.05,51600
8250001.05,825,Calgary,1.05,46400
8300001.05,830,Red Deer,1.05,43600
8350001.05,835,Edmonton,1.05,30400
5050001.06,505,Ottawa - Gatineau,1.06,44800
5370001.06,537,Hamilton,1.06,38000
5410001.06,541,Kitchener - Cambridge - Waterloo,1.06,40800
5500001.06,550,Guelph,1.06,29000
5550001.06,555,London,1.06,34800
5680001.06,568,Barrie,1.06,35600
5800001.06,580,Greater Sudbury / Grand Sudbury,1.06,45600
8250001.06,825,Calgary,1.06,50800
8300001.06,830,Red Deer,1.06,44000
8350001.06,835,Edmonton,1.06,40000
5050001.07,505,Ottawa - Gatineau,1.07,50800
5370001.07,537,Hamilton,1.07,39200
5500001.07,550,Guelph,1.07,32400
5550001.07,555,London,1.07,40800
5680001.07,568,Barrie,1.07,43600
8250001.07,825,Calgary,1.07,41200
8300001.07,830,Red Deer,1.07,48400
8350001.07,835,Edmonton,1.07,40400
5050001.08,505,Ottawa - Gatineau,1.08,47600
5370001.08,537,Hamilton,1.08,36400
5500001.08,550,Guelph,1.08,46000
5550001.08,555,London,1.08,35600
8250001.08,825,Calgary,1.08,37600
8300001.08,830,Red Deer,1.08,48000
5050001.09,505,Ottawa - Gatineau,1.09,26000
5370001.09,537,Hamilton,1.09,39200
5500001.09,550,Guelph,1.09,41600
8250001.09,825,Calgary,1.09,42000
8300001.09,830,Red Deer,1.09,45600
5050001.1,505,Ottawa - Gatineau,1.1,30800
8250001.1,825,Calgary,1.1,38800
8300001.1,830,Red Deer,1.1,48400
8250001.11,825,Calgary,1.11,42000
8250001.13,825,Calgary,1.13,47600
8250001.14,825,Calgary,1.14,49200
8250001.17,825,Calgary,1.17,50400
8250001.22,825,Calgary,1.22,50400
8250001.23,825,Calgary,1.23,42000
8250001.25,825,Calgary,1.25,39200
8250001.28,825,Calgary,1.28,38800
8250001.29,825,Calgary,1.29,47600
8250001.3,825,Calgary,1.3,44000
8250001.32,825,Calgary,1.32,50800
8250001.33,825,Calgary,1.33,60000
8250001.35,825,Calgary,1.35,50400
8250001.37,825,Calgary,1.37,42800
8250001.38,825,Calgary,1.38,43600
8250001.39,825,Calgary,1.39,44400
8250001.4,825,Calgary,1.4,35200
8250001.41,825,Calgary,1.41,45600
8250001.42,825,Calgary,1.42,56000
8250001.43,825,Calgary,1.43,47600
8250001.44,825,Calgary,1.44,43600
8250001.45,825,Calgary,1.45,44000
8250001.46,825,Calgary,1.46,46800
8250001.47,825,Calgary,1.47,49200
8250001.48,825,Calgary,1.48,47200
8250001.49,825,Calgary,1.49,48400
8250001.5,825,Calgary,1.5,46800
10002,1,St. John's,2,31200
2050002,205,Halifax,2,29800
3050002,305,Moncton,2,32800
3200002,320,Fredericton,2,31200
4210002,421,QuÈbec,2,29400
4330002,433,Sherbrooke,2,28000
4420002,442,Trois-RiviËres,2,26400
4470002,447,Drummondville,2,30600
4500002,450,Granby,2,37200
4520002,452,Saint-Hyacinthe,2,36000
4620002,462,MontrÈal,2,31800
5210002,521,Kingston,2,16800
5220002,522,Belleville - Quinte West,2,31800
5290002,529,Peterborough,2,33600
5350002,535,Toronto,2,33600
5390002,539,St. Catharines - Niagara,2,30200
5500002,550,Guelph,2,29800
5620002,562,Sarnia,2,27400
5680002,568,Barrie,2,36800
5750002,575,North Bay,2,36000
5800002,580,Greater Sudbury / Grand Sudbury,2,35200
5900002,590,Sault Ste. Marie,2,36800
5950002,595,Thunder Bay,2,38000
6020002,602,Winnipeg,2,35200
8050002,805,Medicine Hat,2,38800
8100002,810,Lethbridge,2,33600
8300002,830,Red Deer,2,33600
8500002,850,Grande Prairie,2,44000
8600002,860,Wood Buffalo,2,76000
9150002,915,Kelowna,2,40000
9250002,925,Kamloops,2,43200
9320002,932,Abbotsford - Mission,2,34400
9350002,935,Victoria,2,40000
9380002,938,Nanaimo,2,38000
9700002,970,Prince George,2,50000
3100002.01,310,Saint John,2.01,34000
4080002.01,408,Saguenay,2.01,33600
5050002.01,505,Ottawa - Gatineau,2.01,51600
5320002.01,532,Oshawa,2.01,37600
5370002.01,537,Hamilton,2.01,42400
5410002.01,541,Kitchener - Cambridge - Waterloo,2.01,37600
5430002.01,543,Brantford,2.01,26800
5550002.01,555,London,2.01,37200
7050002.01,705,Regina,2.01,43600
7250002.01,725,Saskatoon,2.01,41200
8350002.01,835,Edmonton,2.01,46400
9330002.01,933,Vancouver,2.01,40800
3100002.02,310,Saint John,2.02,28600
4080002.02,408,Saguenay,2.02,35200
5050002.02,505,Ottawa - Gatineau,2.02,52800
5320002.02,532,Oshawa,2.02,28600
5410002.02,541,Kitchener - Cambridge - Waterloo,2.02,34000
5430002.02,543,Brantford,2.02,45600
5550002.02,555,London,2.02,40800
5590002.02,559,Windsor,2.02,47200
7050002.02,705,Regina,2.02,33600
8250002.02,825,Calgary,2.02,37600
8350002.02,835,Edmonton,2.02,36800
9300002.02,930,Chilliwack,2.02,35200
5320002.03,532,Oshawa,2.03,35200
5370002.03,537,Hamilton,2.03,42000
5410002.03,541,Kitchener - Cambridge - Waterloo,2.03,40000
5550002.03,555,London,2.03,38000
5590002.03,559,Windsor,2.03,43600
7250002.03,725,Saskatoon,2.03,40800
8350002.03,835,Edmonton,2.03,38400
9330002.03,933,Vancouver,2.03,30200
5050002.04,505,Ottawa - Gatineau,2.04,69000
5370002.04,537,Hamilton,2.04,32800
5410002.04,541,Kitchener - Cambridge - Waterloo,2.04,37600
5430002.04,543,Brantford,2.04,48800
5550002.04,555,London,2.04,38400
5590002.04,559,Windsor,2.04,31200
7250002.04,725,Saskatoon,2.04,44800
8250002.04,825,Calgary,2.04,31600
8350002.04,835,Edmonton,2.04,33600
9330002.04,933,Vancouver,2.04,34400
5050002.05,505,Ottawa - Gatineau,2.05,34800
5430002.05,543,Brantford,2.05,41600
8350002.05,835,Edmonton,2.05,40800
5050002.06,505,Ottawa - Gatineau,2.06,46400
5370002.06,537,Hamilton,2.06,38400
5410002.06,541,Kitchener - Cambridge - Waterloo,2.06,39600
5430002.06,543,Brantford,2.06,46400
8250002.06,825,Calgary,2.06,51200
5370002.07,537,Hamilton,2.07,37600
5410002.07,541,Kitchener - Cambridge - Waterloo,2.07,41200
8250002.07,825,Calgary,2.07,44000
5370002.08,537,Hamilton,2.08,42800
8250002.08,825,Calgary,2.08,45200
5410002.09,541,Kitchener - Cambridge - Waterloo,2.09,42800
8250002.09,825,Calgary,2.09,46400
8250002.1,825,Calgary,2.1,45200
8250002.11,825,Calgary,2.11,57200
5410002.12,541,Kitchener - Cambridge - Waterloo,2.12,44400
8250002.12,825,Calgary,2.12,49200
5410002.13,541,Kitchener - Cambridge - Waterloo,2.13,44000
5410002.14,541,Kitchener - Cambridge - Waterloo,2.14,50400
8250002.14,825,Calgary,2.14,52400
5410002.15,541,Kitchener - Cambridge - Waterloo,2.15,44400
8250002.15,825,Calgary,2.15,44800
8250002.17,825,Calgary,2.17,48800
8250002.18,825,Calgary,2.18,52400
8250002.22,825,Calgary,2.22,50000
8250002.24,825,Calgary,2.24,44000
8250002.25,825,Calgary,2.25,47200
8250002.26,825,Calgary,2.26,53600
8250002.27,825,Calgary,2.27,53600
8250002.28,825,Calgary,2.28,52000
8250002.29,825,Calgary,2.29,52400
8250002.3,825,Calgary,2.3,51600
8250002.31,825,Calgary,2.31,49600
8250002.32,825,Calgary,2.32,51200
8250002.33,825,Calgary,2.33,57600
8250002.34,825,Calgary,2.34,53600
8250002.35,825,Calgary,2.35,49200
8250002.36,825,Calgary,2.36,50400
8250002.37,825,Calgary,2.37,60400
8250002.38,825,Calgary,2.38,48000
8250002.39,825,Calgary,2.39,49200
8250002.4,825,Calgary,2.4,54000
2050003,205,Halifax,3,26600
3100003,310,Saint John,3,32400
3200003,320,Fredericton,3,32800
4210003,421,QuÈbec,3,40000
4330003,433,Sherbrooke,3,24200
4420003,442,Trois-RiviËres,3,24600
4470003,447,Drummondville,3,25000
4500003,450,Granby,3,
4520003,452,Saint-Hyacinthe,3,30000
4620003,462,MontrÈal,3,31800
5050003,505,Ottawa - Gatineau,3,39200
5210003,521,Kingston,3,23800
5220003,522,Belleville - Quinte West,3,40800
5290003,529,Peterborough,3,33600
5350003,535,Toronto,3,52000
5410003,541,Kitchener - Cambridge - Waterloo,3,32800
5430003,543,Brantford,3,38400
5500003,550,Guelph,3,35200
5550003,555,London,3,41200
5620003,562,Sarnia,3,29000
5680003,568,Barrie,3,51200
5750003,575,North Bay,3,36400
5800003,580,Greater Sudbury / Grand Sudbury,3,33200
5900003,590,Sault Ste. Marie,3,34800
5950003,595,Thunder Bay,3,34800
6020003,602,Winnipeg,3,32800
7050003,705,Regina,3,32000
7250003,725,Saskatoon,3,39600
8100003,810,Lethbridge,3,29800
8250003,825,Calgary,3,44400
8300003,830,Red Deer,3,36400
8350003,835,Edmonton,3,36800
8500003,850,Grande Prairie,3,51600
8600003,860,Wood Buffalo,3,62800
9250003,925,Kamloops,3,43600
9300003,930,Chilliwack,3,25200
9320003,932,Abbotsford - Mission,3,31200
9380003,938,Nanaimo,3,42000
9700003,970,Prince George,3,44000
10003.01,1,St. John's,3.01,32800
3050003.01,305,Moncton,3.01,30600
4080003.01,408,Saguenay,3.01,35200
5320003.01,532,Oshawa,3.01,34800
5370003.01,537,Hamilton,3.01,39200
5390003.01,539,St. Catharines - Niagara,3.01,29400
5590003.01,559,Windsor,3.01,41600
8050003.01,805,Medicine Hat,3.01,42400
9150003.01,915,Kelowna,3.01,36800
9330003.01,933,Vancouver,3.01,32800
9350003.01,935,Victoria,3.01,37600
10003.02,1,St. John's,3.02,31800
4080003.02,408,Saguenay,3.02,36800
5320003.02,532,Oshawa,3.02,38400
5370003.02,537,Hamilton,3.02,40000
5590003.02,559,Windsor,3.02,37600
9150003.02,915,Kelowna,3.02,37600
9330003.02,933,Vancouver,3.02,28000
9350003.02,935,Victoria,3.02,37600
5370003.03,537,Hamilton,3.03,32000
5390003.03,539,St. Catharines - Niagara,3.03,33200
8050003.03,805,Medicine Hat,3.03,38400
3050003.04,305,Moncton,3.04,36000
5370003.04,537,Hamilton,3.04,33200
5390003.04,539,St. Catharines - Niagara,3.04,41200
8050003.04,805,Medicine Hat,3.04,40400
3050003.05,305,Moncton,3.05,46000
3050003.06,305,Moncton,3.06,40400
3100004,310,Saint John,4,28600
3200004,320,Fredericton,4,29400
4080004,408,Saguenay,4,25800
4210004,421,QuÈbec,4,36800
4330004,433,Sherbrooke,4,25400
4420004,442,Trois-RiviËres,4,29200
4470004,447,Drummondville,4,30000
4500004,450,Granby,4,30600
4520004,452,Saint-Hyacinthe,4,25600
4620004,462,MontrÈal,4,33600
5050004,505,Ottawa - Gatineau,4,27800
5210004,521,Kingston,4,30600
5220004,522,Belleville - Quinte West,4,31800
5290004,529,Peterborough,4,31200
5350004,535,Toronto,4,30600
5430004,543,Brantford,4,53600
5590004,559,Windsor,4,45200
5620004,562,Sarnia,4,35200
5750004,575,North Bay,4,28400
5800004,580,Greater Sudbury / Grand Sudbury,4,38000
5900004,590,Sault Ste. Marie,4,44400
5950004,595,Thunder Bay,4,38000
7250004,725,Saskatoon,4,38000
8050004,805,Medicine Hat,4,28800
8100004,810,Lethbridge,4,37200
8250004,825,Calgary,4,43200
8300004,830,Red Deer,4,28400
8500004,850,Grande Prairie,4,38400
8600004,860,Wood Buffalo,4,50400
9150004,915,Kelowna,4,38000
9250004,925,Kamloops,4,40800
9300004,930,Chilliwack,4,30200
9320004,932,Abbotsford - Mission,4,31000
9350004,935,Victoria,4,38800
9380004,938,Nanaimo,4,38000
9700004,970,Prince George,4,46400
10004.01,1,St. John's,4.01,25800
2050004.01,205,Halifax,4.01,28600
3050004.01,305,Moncton,4.01,33200
5320004.01,532,Oshawa,4.01,37200
5370004.01,537,Hamilton,4.01,33600
