X,Y,full_id,osm_id,osm_type,amenity,addr:door,source:name,diet:fish,highway,full_name,addr:building,contact:mobile,local_ref,name:yue-Hant,diet:lactose_free,lastcheck,contact:youtube,payment:amex,payment:onchain,payment:lightning,payment:coinos,currency:XBT,check_date:currency:XBT,fee,bottle,payment:google_pay,payment:apple_pay,diet:local,diet:dairy_free,payment:tcard,opening_date,parking,bicycle_parking,toilets:unisex,construction,diet:dairy,not:shop,membership,branch_name,drink:cola,vending,bar,office,memorial,material,historic,diet:non-halal,operator:wikipedia,payment:nfc_mobile_payments,emergency:exit,capacity:seats,dog,reservation,payment:qr_code,payment:cards,diet:non-vegetarian,diet:nut_free,website2,wikimedia_commons,barbecue,takeaway:covid19,open,name:ko,brand:ko,brand:en,disused:shop,name:ar,changing_table,addr:street:fr,gluten_free,addr:suburb,name:it,phone:mnemonic,lgbtq,payment:electronic_purses,payment:cryptocurrencies,not:name,tipping,seats,street_vendor,ele,name:ur,owner,payment:visa_debit,payment:nfc,payment:mastercard_debit,name:fr,brand:fr,alt_name:fr,dispensing,stars:system,stars,dine_in,phone:tollfree,cater,building:use,building:levels,building,diet:chicken,seating,survey:date,addr:place,alcohol,seasonal,wikipedia:fr,wikipedia:en,contact:email,former_name,level:ref,is_in,url,opening_hours:covid19,name:ru,cafe,operator:wikidata,source:date,fast_food,source:opening_hours,opening_hours:url,payment:gift_card,website:orders,diet:lacto_vegetarian,not:brand:wikidata,cost:coffee,drink,disused,microbrewery,catering,name:en,street_food,contact:website,contact:phone,disused:name,disused:cuisine,disused:brand:wikipedia,disused:brand:wikidata,disused:brand,disused:amenity,name:vi,indoor,entrance,door,diet:keto,toilets:access,delivery:just_eat,loc_name,wikipedia,just_eat,noname,description,access,check_date:smoking,check_date:diet:vegetarian,future,lottery,playplace,layer,healthcare,male,female,contact:twitter,contact:instagram,contact:facebook,payment:notes,payment:coins,name:zh,mapillary,email,llbo,diet:seafood,halal,unit,internet_access:ssid,short_name,payment:american_express,wikidata,diet:kosher,diet:halal,floor,website:fr,website:en,hst_number,opening_hours:signed,atm,self_service,shop,addr:floor,ref:store_number,website:menu,brand:website,opendata:type,ref:vatin,opening_hours:seating_area,image,diet:healthy,diet:gluten_free,check_date:diet:gluten_free,payment:interac,payment:contactless,drive_in,diet:vegan,air_conditioning,addr:country,comment,wheelchair:description,capacity,toilets,fax,diet:vegetarian,diet:meat,store_name,check_date:opening_hours,operator,alt_name,smoking,panoramax,start_date,payment:visa,payment:mastercard,pickup_window,highchair,official_name,addr:unit,old_name,branch,toilets:wheelchair,internet_access:fee,internet_access,wheelchair,level,addr:housename,washroom,store_ref,indoor_seating,gst_number,website,ref,phone,payment:debit_cards,payment:credit_cards,payment:cash,outdoor_seating,opening_hours:drive_through,opening_hours,drive_through,delivery,check_date,addr:street,addr:province,addr:postcode,addr:housenumber,addr:city,takeaway,name,cuisine,brand:wikipedia,brand:wikidata,brand
-76.4796677,44.2679468,n33979945,"33979945",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Subway,sandwich,en:Subway (restaurant),Q244457,Subway
-76.4923745,44.2330246,n34238326,"34238326",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.burgerking.ca/store-locator/store/restaurant_2832,"2832",+1-613-531-8596,yes,yes,yes,no,"We-Sa 11:00-00:00; Su-Tu 11:00-23:00","We-Sa 11:00-00:00; Su-Tu 11:00-23:00",yes,yes,2025-12-24,Princess Street,Ontario,K7L 1B8,"400",Kingston,yes,Burger King,burger,en:Burger King,Q177054,Burger King
-76.4792236,44.231197,n34238328,"34238328",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo-Sa 07:00-23:00, Su 07:00-22:00",,,2025-12-24,,,,,,yes,Subway,sandwich,en:Subway (restaurant),Q244457,Subway
-79.3996819,43.6577736,n42395700,"42395700",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,locked,"12099",yes,R100693654,,,+1-416-591-9999,,,,no,,Mo-Su 07:00-24:00,,,2025-05-25,College Street,,,"267",Toronto,yes,Burger King,burger,en:Burger King,Q177054,Burger King
-79.3909786,43.6536955,n42606718,"42606718",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",Village by the Grange,,"29131",,,,,+1-416-977-6607,,,,,,,no,,2023-07-18,McCaul Street,,M5T 3K5,"109",Toronto,yes,McDonald's,burger,en:McDonald's,Q38076,McDonald's
-79.3555774,43.6769918,n48553513,"48553513",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,"Mo-We,Sa 08:00-22:00; Th,Fr 08:00-23:00; Su 09:00-21:00",,,2024-09-12,,,,,,yes,Subway,sandwich,en:Subway (restaurant),Q244457,Subway
-79.4061892,43.6520854,n54965526,"54965526",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,wlan,yes,,,,"23919",,,,,+1-416-362-5499,yes,yes,yes,,24/7,,yes,,2025-12-29,Bathurst Street,,M5T 2S3,"344",Toronto,yes,McDonald's,burger,en:McDonald's,Q38076,McDonald's
-79.4146608,43.66451,n60796373,"60796373",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kentucky Fried Chicken,Chicken,,,,,,,,,,,,,,,,,,,,,,2025-06-17,,,,,,yes,Mary Brown's,chicken,,Q6779125,Mary Brown's
-79.3887411,43.6744621,n60930945,"60930945",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yonge Street,,,"932",Toronto,yes,Subway,sandwich,en:Subway (restaurant),Q244457,Subway
-79.411422,43.6652157,n62574874,"62574874",node,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,https://www.pizzapizza.ca/,,+1-416-967-1111,,,,no,,"Su-We 10:30-02:00, Th 10:30-03:00, Fr-Sa 10:30-04:00",,,2025-12-10,Bloor Street West,,M5S1Y6,"558",Toronto,yes,Pizza Pizza,pizza,en:Pizza Pizza,Q1194143,Pizza Pizza
